Tipo de Obra;Nro. GEX;Fecha Vencimiento;Estado;Regional;Solicitantes;Fecha de Solicitud;Fecha de Resolución;Fecha de Inscripción;Cadual;Volumen;Uso;Destino;Lat;Lon;Mes Inicio;Mes Final;Horas x Año;Depto.-Padrón;Id Solicitud;Codigo Cuencas de nivel 5;Sección Judicial;Cuencas de nivel 3;Curso a Utilizar;Área de Cuenca;Área de Embalse;Volúmen de Embalse;Altura Máxima;Tipo de acuifero;profundidad;Diámetro;Caudal Ensayado;Nivel Estático;Nivel Dinámico;Caudal Máximo;Codigo Cuencas de nivel 2;Accion Solicitud;Tipo Resolución
Toma;SGRH-01040200146;30/6/2099;Registrada;ROCHA;Aguas De La Costa ;1/1/2001;15/1/2002;15/1/2002;70;6500000;Consumo humano;Abastecimiento a poblaciones;-34,79346515;-54,90872687;4;3;8640;MALDONADO-8913;238406;30120;6;Ao. SAN CARLOS;Ao. San Carlos;;;;;;;;;;;;30;Nueva;Permiso de uso
Represa Grande;SGRH-02040000290;15/5/2026;Registrada;SALTO;REPRESA DEL CHINGOLO S.A. ;1/1/2002;24/4/2003;28/4/2003;0;8000000;Riego;Arroz;-32,14536156;-58,02599347;12;3;2880;PAYSANDÚ-3042, PAYSANDÚ-3063, PAYSANDÚ-3076, PAYSANDÚ-3133, PAYSANDÚ-3150, PAYSANDÚ-8682, PAYSANDÚ-9219, PAYSANDÚ-9220;239154;17910;12;RÍO QUEGUAY GRANDE entre Ao. QUEBRACHO GRANDE y Río Uruguay;Ao. Chingolo;3755;268;8000000;10,4;;;;;;;;17;Nueva;Concesión
Represa Chica;SGRH-2004-10-004-0510-1-166;28/6/2021;Registrada;TACUAREMBÓ;Miriam María Navarro Freitas;5/8/2004;28/6/2011;11/7/2011;0;1505000;Riego;Arroz;-32,14394109;-55,37530776;12;3;2880;TACUAREMBÓ-1583;239493;53666;;RÍO TACUAREMBÓ entre Ao. YAGUARÍ y Ao. Caraguatá;Cañada sin nombre;310;106,7;2624000;7,7;;;;;;;;53;Renov/Modif;Concesión
Pozo;SGRH-2004-10-004-0510-1-170;17/2/2025;Registrada;SAN JOSÉ;OSE ;11/8/2004;17/2/1995;21/3/1995;62;357120;Consumo humano;Abastecimiento a poblaciones;-34,71753094;-56,43898522;12;11;5760;SAN JOSÉ-IMSJ;239497;66200;8;RÍO SANTA LUCÍA entre Ao. TROPA VIEJA y Ao. De Las Brujas Grande;662;;;;;;36;0,4;62;9,8;18,5;;66;Nueva;Autorización
Pozo;SGRH-2004-10-004-0510-1-181;26/3/2020;Archivada con Resolución;TACUAREMBÓ;WEYERHAEUSER PRODUCTOS ;17/8/2004;26/2/2010;26/3/2010;6,5;17280;Industrial;Forestal;-31,63879068;-55,90373059;12;11;2640;TACUAREMBÓ-3167;239506;52422;5;Ao. TACUAREMBÓ CHICO entre Ao. TRES CRUCES y Ao. Batoví;524;;;;;AMBOS;101,8;203;6,5;4;44;;52;Nueva;Permiso de uso
Pozo;SGRH-2004-10-004-0510-1-182;5/5/2020;Archivada con Resolución;TACUAREMBÓ;WEYERHAEUSER PRODUCTOS ;17/8/2004;5/5/2010;11/5/2010;8;21120;Industrial;Forestal;-31,64094885;-55,90034904;12;11;2640;TACUAREMBÓ-3167;239507;52422;5;Ao. TACUAREMBÓ CHICO entre Ao. TRES CRUCES y Ao. Batoví;524;;;;;AMBOS;88;0,36;8;;50;;52;Nueva;Permiso de uso
Represa Chica;SGRH-2004-10-004-0510-1-285;30/6/2021;Registrada;RÍO BRANCO;Ricor S.A. ;24/11/2004;16/10/2014;3/11/2014;0;850000;Riego;Arroz;-32,16385753;-53,99977813;12;3;2880;CERRO LARGO-1766;239591;41403;;RÍO TACUARÍ entre Ao. CHUY y Ao. Rabón;Cda sin nombre;227;34,3;812050;7;;;;;;;;41;Nueva;Concesión
Represa Mediana;SGRH-2004-10-004-0510-1-288;4/7/2027;Registrada;ARTIGAS;Juan Ángel Villamor;26/11/2004;4/7/2017;19/7/2017;0;4097400;Riego;Arroz;-30,55123187;-56,90714164;12;3;2880;ARTIGAS-2271, ARTIGAS-3328, ARTIGAS-4503, ARTIGAS-5319, ARTIGAS-5838;239594;10840;;RÍO CUAREIM entre Ao. CUARÓ GRANDE y Ao. Yucutujá;Cda. Zanja José Juan;875;98,8;4097400;13;;;;;;;;10;Nueva;Concesión
Pozo;SGRH-2004-10-004-0510-1-291;16/2/2021;Registrada;TACUAREMBÓ;Conaprole ;29/11/2004;16/2/2011;24/2/2011;5;18000;Industrial;Otros;-30,93393288;-55,54669012;12;11;3600;RIVERA-4848;239598;51700;9;RÍO TACUAREMBÓ entre Ao. CUÑAPIRÚ y Ao. Buena Orden;517;;;;;;61;0,15;6,5;17;24;;51;Nueva;Permiso de uso
Represa Mediana;SGRH-2005-10-004-0510-1-200;23/3/2019;Archivada con Resolución;RÍO BRANCO;Detysul ;17/10/2005;23/3/2009;2/4/2009;0;1400000;Riego;Arroz;-32,36535506;-54,83191407;12;3;2880;CERRO LARGO-11254, CERRO LARGO-11288, CERRO LARGO-182, CERRO LARGO-186;239810;50610;7;RÍO NEGRO entre Ao. FRAILE MUERTO y Ao. Tupambaé;Cda. de la Estancia/Ao. Laureles;1250;86;1352000;4,6;;;;;;;;50;Nueva;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-238;21/10/2024;Archivada con Resolución;RÍO BRANCO;Ocariz Gianola ;17/11/2005;21/10/2014;24/10/2014;0;1950000;Riego;Arroz;-31,90325057;-54,43030837;12;3;2880;CERRO LARGO-10188, CERRO LARGO-1406, CERRO LARGO-5967;239838;50310;5;RÍO NEGRO entre Ao. LECHIGUANA y Ao. Bañados De Aceguá;Cda. Moyano;486;83,8;1945000;6,9;;;;;;;;50;Renov/Modif;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-33;9/2/2021;Registrada;TACUAREMBÓ;Carolina Diaz Tieghi;10/3/2005;9/2/2011;9/3/2011;0;270000;Otros usos agropecuarios;Abrevadero de ganado;-31,64707454;-55,56418481;4;3;8640;RIVERA-3940, RIVERA-9194;239888;51749;;RÍO TACUAREMBÓ entre Ao. CUÑAPIRÚ y Ao. Buena Orden;Cda. sin nombre;488;25,3;270000;4,1;;;;;;;;51;Cesión;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-61;30/6/2024;Registrada;ARTIGAS;Germinel Moline;13/4/2005;13/3/2017;5/4/2017;0;927575;Riego;Arroz;-30,46414225;-57,69644535;12;3;2880;ARTIGAS-4550, ARTIGAS-4617;239918;11400;;RÍO URUGUAY entre Ao. ÑAQUIÑÁ y Ao. Mandiyú;Cañada Chico Machado;320;29,5;545000;6,5;;;;;;;;11;Renov/Modif;Concesión
Represa Chica;SGRH-2005-10-004-0510-1-95;23/3/2019;Archivada con Resolución;RÍO BRANCO;Walter Gomes Vaz;10/5/2005;23/3/2009;2/4/2009;0;1280000;Riego;Arroz;-32,74566091;-55,28270025;12;3;2880;CERRO LARGO-5257, CERRO LARGO-714;239951;50923;9;RÍO NEGRO entre Ao. DEL CORDOBÉS y Río Tacuarembó;Cda. sin nombre;295;42,2;1897000;10,5;;;;;;;;50;Nueva;Concesión
Represa Mediana;SGRH-2006-10-004-0510-1-112;7/7/2019;Registrada;ARTIGAS;Moralar S.A. ;27/6/2006;7/7/2009;10/7/2009;0;550000;Riego;Caña de azúcar;-30,33455627;-57,5794968;12;3;2880;ARTIGAS-3822, ARTIGAS-5043, ARTIGAS-5045;239970;11107;;RÍO URUGUAY entre Ao. ITACUMBÚ y Ao. Lenguazo;Cda. del Sauzal;582;28,83;549690;6,1;;;;;;;;11;Nueva;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-113;21/4/2019;Archivada con Resolución;SALTO;Martín y Claudia Echenagusía;27/6/2006;21/4/2009;7/5/2009;0;2209925;Riego;Arroz;-30,97855786;-57,15419302;12;3;2880;ARTIGAS-3487, ARTIGAS-571;239971;12550;6;RÍO ARAPEY CHICO entre Ao. DE LAS CAÑAS y Ao. Ceballos Grande;Cda. /Zanja de los Tres Capones/Ao. de las Cañas;1032;64;2210000;11,8;;;;;;;;12;Nueva;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-131;30/6/2021;Registrada;FRAY BENTOS;Nalmer S.A. ;19/7/2006;30/5/2014;30/6/2014;0;1774000;Riego;Cereales/Oleaginosas;-32,94087761;-57,74916636;12;3;2880;RÍO NEGRO-1734, RÍO NEGRO-1735, RÍO NEGRO-1736;239990;58530;4;RÍO NEGRO entre Ao. COLADERAS y Ao. Del Abrojal;Cda. Mala;1231;93;1774000;7;;;;;;;;58;Nueva;Concesión
Pozo;SGRH-2006-10-004-0510-1-177;20/3/2019;Registrada;SAN JOSÉ;UTE ;21/8/2006;20/3/2009;25/3/2009;14,8;31968;Industrial;Otros;-34,75075665;-56,54080639;12;11;2160;SAN JOSÉ-18243;240036;24800;;RÍO DE LA PLATA entre Ao. DEL TIGRE y Río Santa Lucía;247;;;;;;20;0,2;14,8;5,5;10,5;;24;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-178;27/11/2019;Registrada;SAN JOSÉ;UTE ;21/8/2006;27/11/2009;7/12/2009;15;32400;Industrial;Generación de energía;-34,74951466;-56,54492336;12;11;2160;SAN JOSÉ-18243;240037;24710;;RÍO DE LA PLATA entre Ao. MAURICIO y Ao. Del Tigre;248;;;;;;20;0,2;20;4;8;;24;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-182;16/12/2019;Registrada;SAN JOSÉ;UTE ;21/8/2006;16/12/2009;28/12/2009;12;25920;Industrial;Generación de energía;-34,74936581;-56,54714987;12;11;2160;SAN JOSÉ-18243;240042;24710;;RÍO DE LA PLATA entre Ao. MAURICIO y Ao. Del Tigre;247;;;;;;20;0,2;16;4,5;11;;24;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-183;20/3/2019;Archivada con Resolución;SAN JOSÉ;UTE ;21/8/2006;7/7/2009;10/7/2009;12,3;26568;Industrial;Otros;-34,74758865;-56,54296222;12;11;2160;SAN JOSÉ-18243;240043;24800;;RÍO DE LA PLATA entre Ao. DEL TIGRE y Río Santa Lucía;248;;;;;;20;0,2;12,3;4;9;;24;Nueva;Permiso de uso
Represa Mediana;SGRH-2006-10-004-0510-1-213;27/11/2019;Registrada;SALTO;Arié Stolovas Grois;20/9/2006;27/11/2009;7/12/2009;0;0;Riego;Arroz;-31,24778;-57,00201;12;3;2880;SALTO-10329, SALTO-915;240075;13578;6;RÍO ARAPEY GRANDE entre Ao. ARERUNGUÁ y Ao. Valentín Grande;Cañada del Sauce;575;42;1088390;7,7;;;;;;;;13;Nueva;Concesión
Represa Grande;SGRH-2006-10-004-0510-1-225;31/8/2019;Archivada con Resolución;SAN JOSÉ;Frigorífico Canelones S.A. ;22/9/2006;31/8/2009;7/9/2009;0;150000;Industrial;Otros;-34,54400906;-56,25823142;4;3;8640;CANELONES-25014;240088;63505;;Ao. CANELÓN GRANDE entre Ao. CANELÓN CHICO y Río Santa Lucía;Cda. ;1800;21,2;141200;5,3;;;;;;;;63;Nueva;Concesión
Represa Mediana;SGRH-2006-10-004-0510-1-227;20/6/2021;Registrada;TACUAREMBÓ;Sierras  Y  Valles  S.A. ;4/10/2006;20/6/2011;28/6/2011;0;1780000;Riego;Arroz;-32,79810781;-56,081128;12;3;2880;DURAZNO-5562, DURAZNO-7354, DURAZNO-7355;240090;54635;5;RÍO NEGRO entre Ao. LAURELES y Ao. Carpintería;Gajo del Ao. Tala;590;120;1780000;7,5;;;;;;;;54;Cesión;Concesión
Pozo;SGRH-2006-10-004-0510-1-238;11/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;11/8/2010;17/8/2010;1;5400;Industrial;Otros;-34,77077747;-56,3812594;12;11;5400;SAN JOSÉ-8665;240100;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;4,33;1;1;2,8;3,69;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-239;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;1;5400;Industrial;Otros;-34,76956373;-56,3787057;12;11;5400;SAN JOSÉ-1131;240101;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;4,5;1;1;2,31;3,66;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-240;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;2;8640;Industrial;Otros;-34,76904398;-56,37995827;12;11;4320;SAN JOSÉ-1131;240103;68710;6;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;5,4;1;2,4;4,45;;;68;Nueva;Permiso de uso
Pozo;SGRH-2006-10-004-0510-1-242;23/8/2020;Registrada;SAN JOSÉ;Efice S.A. ;6/10/2006;23/8/2010;6/9/2010;2;7680;Industrial;Otros;-34,76920794;-56,37959894;12;11;3840;SAN JOSÉ-1131;240105;68710;;RÍO SANTA LUCÍA entre Ao. DE MELILLA y Río de la Plata;687;;;;;;4,5;1;2;2,33;3,54;;68;Nueva;Permiso de uso
